temperature_c,rain_mm,humidity_pct,pressure_hpa,hour,datetime,month,pressure_change_3h,rained
19.0,0.5,95.0,1008.3,3,2026-03-01 03:00:00,3,-0.20000000000004547,0
19.1,0.5,96.0,1008.6,4,2026-03-01 04:00:00,3,-1.1999999999999318,0
19.2,1.0,97.0,1009.1,5,2026-03-01 05:00:00,3,-0.2999999999999545,1
19.2,0.05,97.0,1008.8,6,2026-03-01 06:00:00,3,0.5,0
19.2,0.5,95.0,1008.2,7,2026-03-01 07:00:00,3,-0.39999999999997726,0
19.4,0.05,93.0,1008.0,8,2026-03-01 08:00:00,3,-1.1000000000000227,0
20.6,0.0,92.0,1008.7,9,2026-03-01 09:00:00,3,-0.09999999999990905,0
21.9,0.0,84.0,1008.1,10,2026-03-01 10:00:00,3,-0.10000000000002274,0
22.5,0.0,79.0,1007.6,11,2026-03-01 11:00:00,3,-0.39999999999997726,0
23.8,0.0,79.0,1006.8,12,2026-03-01 12:00:00,3,-1.900000000000091,0
23.1,0.0,78.0,1006.2,13,2026-03-01 13:00:00,3,-1.8999999999999773,0
22.9,0.05,84.0,1005.6,14,2026-03-01 14:00:00,3,-2.0,0
22.1,0.05,89.0,1005.4,15,2026-03-01 15:00:00,3,-1.3999999999999773,0
21.9,0.05,90.0,1005.5,16,2026-03-01 16:00:00,3,-0.7000000000000455,0
21.4,0.0,92.0,1005.9,17,2026-03-01 17:00:00,3,0.2999999999999545,0
20.8,0.0,92.0,1006.3,18,2026-03-01 18:00:00,3,0.8999999999999773,0
20.5,0.0,93.0,1006.8,19,2026-03-01 19:00:00,3,1.2999999999999545,0
20.3,0.0,93.0,1006.8,20,2026-03-01 20:00:00,3,0.8999999999999773,0
20.5,0.0,93.0,1007.0,21,2026-03-01 21:00:00,3,0.7000000000000455,0
20.4,0.0,93.0,1007.3,22,2026-03-01 22:00:00,3,0.5,0
20.4,0.0,93.0,1007.9,23,2026-03-01 23:00:00,3,1.1000000000000227,0
20.7,0.0,85.0,1010.5,0,2026-03-02 00:00:00,3,3.5,0
19.6,0.5,96.0,1007.7,1,2026-03-02 01:00:00,3,0.40000000000009095,0
19.1,0.05,97.0,1008.0,2,2026-03-02 02:00:00,3,0.10000000000002274,0
19.2,1.5,98.0,1007.4,3,2026-03-02 03:00:00,3,-3.1000000000000227,1
19.6,0.05,96.0,1006.8,4,2026-03-02 04:00:00,3,-0.900000000000091,0
19.4,0.0,97.0,1006.5,5,2026-03-02 05:00:00,3,-1.5,0
19.4,0.0,98.0,1006.6,6,2026-03-02 06:00:00,3,-0.7999999999999545,0
20.1,0.0,97.0,1006.9,7,2026-03-02 07:00:00,3,0.10000000000002274,0
22.1,0.0,91.0,1007.7,8,2026-03-02 08:00:00,3,1.2000000000000455,0
24.9,0.0,82.0,1007.7,9,2026-03-02 09:00:00,3,1.1000000000000227,0
26.1,0.0,77.0,1007.9,10,2026-03-02 10:00:00,3,1.0,0
25.9,0.0,80.0,1007.8,11,2026-03-02 11:00:00,3,0.09999999999990905,0
25.4,0.0,85.0,1007.6,12,2026-03-02 12:00:00,3,-0.10000000000002274,0
24.3,0.0,86.0,1007.1,13,2026-03-02 13:00:00,3,-0.7999999999999545,0
24.1,0.0,86.0,1006.5,14,2026-03-02 14:00:00,3,-1.2999999999999545,0
25.3,0.0,82.0,1006.0,15,2026-03-02 15:00:00,3,-1.6000000000000227,0
24.9,0.0,82.0,1006.3,16,2026-03-02 16:00:00,3,-0.8000000000000682,0
21.4,0.0,92.0,1007.1,17,2026-03-02 17:00:00,3,0.6000000000000227,0
21.3,0.0,93.0,1007.7,18,2026-03-02 18:00:00,3,1.7000000000000455,0
21.8,0.0,92.0,1008.1,19,2026-03-02 19:00:00,3,1.8000000000000682,0
22.2,0.0,89.0,1009.2,20,2026-03-02 20:00:00,3,2.1000000000000227,0
22.2,0.0,89.0,1009.8,21,2026-03-02 21:00:00,3,2.099999999999909,0
22.0,0.0,92.0,1010.0,22,2026-03-02 22:00:00,3,1.8999999999999773,0
20.7,0.05,87.0,1010.6,23,2026-03-02 23:00:00,3,1.3999999999999773,0
16.1,0.0,79.0,1015.2,0,2026-03-03 00:00:00,3,5.400000000000091,0
19.4,0.0,84.0,1010.7,1,2026-03-03 01:00:00,3,0.7000000000000455,0
